Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Ingredients_list,clean_Ingredients
14-18,Normal,Normal to Dry,Yes,Acne,Comedonal,zinc pca + benzoyl peroxide + salicylic acid,0.5% + 2% + 5%,"Controls sebum production, Kills acne-causing bacteria, Unclogs pores and removes excess oil",['zinc pca  benzoyl peroxide  salicylic acid'],zinc pca  benzoyl peroxide  salicylic acid
14-18,Normal,Normal to Dry,Yes,Acne,Inflammatory,zinc pca + benzoyl peroxide + niacinamide,0.5% + 5% + 1%,"Controls sebum production, Kills acne-causing bacteria, Reduces inflammation and regulates sebum",['zinc pca  benzoyl peroxide  niacinamide'],zinc pca  benzoyl peroxide  niacinamide
14-18,Normal,Normal to Dry,Yes,Acne,Nodular,zinc pca + azelaic acid + salicylic acid,10% + 1% + 5%,"Controls sebum production, Reduces acne and improves skin texture, Unclogs pores and removes excess oil",['zinc pca  azelaic acid  salicylic acid'],zinc pca  azelaic acid  salicylic acid
14-18,Normal,Normal to Dry,Yes,Acne,Cystic,benzoyl peroxide + niacinamide + azelaic acid,10% + 1% + 8%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture",['benzoyl peroxide  niacinamide  azelaic acid'],benzoyl peroxide  niacinamide  azelaic acid
14-18,Normal,Normal to Dry,Yes,Dark Circles,Pigmented,hyaluronic acid + caffeine + vitamin c,3% + 2% + 0.5%,"Hydrates and plumps the skin, Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation",['hyaluronic acid  caffeine  vitamin c'],hyaluronic acid  caffeine  vitamin c
14-18,Normal,Normal to Dry,Yes,Dark Circles,Vascular,vitamin c + niacinamide + caffeine,8% + 0.5% + 3%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation",['vitamin c  niacinamide  caffeine'],vitamin c  niacinamide  caffeine
14-18,Normal,Normal to Dry,Yes,Dark Spots,General,alpha arbutin + niacinamide + vitamin c,0.5% + 8% + 3%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation",['alpha arbutin  niacinamide  vitamin c'],alpha arbutin  niacinamide  vitamin c
14-18,Normal,Normal to Dry,Yes,Dullness,General,vitamin c + lactic acid + green tea extract,0.5% + 5% + 8%,"Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits",['vitamin c  lactic acid  green tea extract'],vitamin c  lactic acid  green tea extract
14-18,Normal,Normal to Dry,Yes,Hyperpigmentation,General,alpha arbutin + vitamin c + niacinamide,3% + 1% + 5%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum",['alpha arbutin  vitamin c  niacinamide'],alpha arbutin  vitamin c  niacinamide
14-18,Normal,Normal to Dry,Yes,Open Pores,General,azelaic acid + salicylic acid + green tea extract,10% + 2% + 0.5%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits",['azelaic acid  salicylic acid  green tea extract'],azelaic acid  salicylic acid  green tea extract
14-18,Normal,Normal to Dry,Yes,Redness,General,chamomile extract + aloe vera + niacinamide,10% + 0.5% + 5%,"Calms redness and irritation, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum",['chamomile extract  aloe vera  niacinamide'],chamomile extract  aloe vera  niacinamide
14-18,Normal,Normal to Dry,Yes,Sun Tan,General,vitamin c + alpha arbutin + aloe vera,3% + 5% + 1%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin",['vitamin c  alpha arbutin  aloe vera'],vitamin c  alpha arbutin  aloe vera
14-18,Normal,Normal to Dry,Yes,Whiteheads / Blackheads,General,glycolic acid + zinc pca + niacinamide,0.5% + 10% + 8%,"Exfoliates dead skin cells and smooths skin, Controls sebum production, Reduces inflammation and regulates sebum",['glycolic acid  zinc pca  niacinamide'],glycolic acid  zinc pca  niacinamide
14-18,Normal,Normal to Dry,Yes,Wrinkles,General,niacinamide + hyaluronic acid + peptides,0.5% + 2% + 1%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Improves skin elasticity and firmness",['niacinamide  hyaluronic acid  peptides'],niacinamide  hyaluronic acid  peptides
14-18,Normal,Normal to Dry,No,Acne,Comedonal,green tea extract + salicylic acid + niacinamide,1% + 0.5% + 10%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum",['green tea extract  salicylic acid  niacinamide'],green tea extract  salicylic acid  niacinamide
14-18,Normal,Normal to Dry,No,Acne,Inflammatory,salicylic acid + benzoyl peroxide + zinc pca,3% + 2% + 10%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Controls sebum production",['salicylic acid  benzoyl peroxide  zinc pca'],salicylic acid  benzoyl peroxide  zinc pca
14-18,Normal,Normal to Dry,No,Acne,Nodular,azelaic acid + green tea extract + benzoyl peroxide,1% + 3% + 5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria",['azelaic acid  green tea extract  benzoyl peroxide'],azelaic acid  green tea extract  benzoyl peroxide
14-18,Normal,Normal to Dry,No,Acne,Cystic,green tea extract + zinc pca + azelaic acid,0.5% + 3% + 1%,"Provides antioxidant and anti-inflammatory benefits, Controls sebum production, Reduces acne and improves skin texture",['green tea extract  zinc pca  azelaic acid'],green tea extract  zinc pca  azelaic acid
14-18,Normal,Normal to Dry,No,Dark Circles,Pigmented,vitamin c + vitamin k + niacinamide,3% + 8% + 1%,"Brightens skin and reduces pigmentation, Improves blood circulation under eyes, Reduces inflammation and regulates sebum",['vitamin c  vitamin k  niacinamide'],vitamin c  vitamin k  niacinamide
14-18,Normal,Normal to Dry,No,Dark Circles,Vascular,licorice extract + vitamin k + vitamin c,2% + 0.5% + 10%,"Lightens dark spots and evens skin tone, Improves blood circulation under eyes, Brightens skin and reduces pigmentation",['licorice extract  vitamin k  vitamin c'],licorice extract  vitamin k  vitamin c
14-18,Normal,Normal to Dry,No,Dark Spots,General,licorice extract + vitamin c + kojic acid,2% + 1% + 8%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Lightens pigmentation and skin discoloration",['licorice extract  vitamin c  kojic acid'],licorice extract  vitamin c  kojic acid
14-18,Normal,Normal to Dry,No,Dullness,General,lactic acid + green tea extract + hyaluronic acid,2% + 0.5% + 8%,"Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits, Hydrates and plumps the skin",['lactic acid  green tea extract  hyaluronic acid'],lactic acid  green tea extract  hyaluronic acid
14-18,Normal,Normal to Dry,No,Hyperpigmentation,General,alpha arbutin + tranexamic acid + licorice extract,10% + 1% + 0.5%,"Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation, Lightens dark spots and evens skin tone",['alpha arbutin  tranexamic acid  licorice extract'],alpha arbutin  tranexamic acid  licorice extract
14-18,Normal,Normal to Dry,No,Open Pores,General,niacinamide + azelaic acid + clay,3% + 5% + 2%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Absorbs excess oil and tightens pores",['niacinamide  azelaic acid  clay'],niacinamide  azelaic acid  clay
14-18,Normal,Normal to Dry,No,Redness,General,aloe vera + centella asiatica + chamomile extract,2% + 0.5% + 3%,"Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier, Calms redness and irritation",['aloe vera  centella asiatica  chamomile extract'],aloe vera  centella asiatica  chamomile extract
14-18,Normal,Normal to Dry,No,Sun Tan,General,licorice extract + aloe vera + alpha arbutin,1% + 2% + 5%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots",['licorice extract  aloe vera  alpha arbutin'],licorice extract  aloe vera  alpha arbutin
14-18,Normal,Normal to Dry,No,Whiteheads / Blackheads,General,salicylic acid + willow bark extract + niacinamide,10% + 2% + 8%,"Unclogs pores and removes excess oil, Naturally exfoliates and clears pores, Reduces inflammation and regulates sebum",['salicylic acid  willow bark extract  niacinamide'],salicylic acid  willow bark extract  niacinamide
14-18,Normal,Normal to Dry,No,Wrinkles,General,retinol + peptides + hyaluronic acid,10% + 0.5% + 3%,"Stimulates collagen production and reduces wrinkles, Improves skin elasticity and firmness, Hydrates and plumps the skin",['retinol  peptides  hyaluronic acid'],retinol  peptides  hyaluronic acid
14-18,Normal,Normal to Oily,Yes,Acne,Comedonal,niacinamide + zinc pca + benzoyl peroxide,0.5% + 2% + 8%,"Reduces inflammation and regulates sebum, Controls sebum production, Kills acne-causing bacteria",['niacinamide  zinc pca  benzoyl peroxide'],niacinamide  zinc pca  benzoyl peroxide
14-18,Normal,Normal to Oily,Yes,Acne,Inflammatory,salicylic acid + zinc pca + azelaic acid,5% + 2% + 3%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture",['salicylic acid  zinc pca  azelaic acid'],salicylic acid  zinc pca  azelaic acid
14-18,Normal,Normal to Oily,Yes,Acne,Nodular,zinc pca + green tea extract + salicylic acid,3% + 10% + 1%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil",['zinc pca  green tea extract  salicylic acid'],zinc pca  green tea extract  salicylic acid
14-18,Normal,Normal to Oily,Yes,Acne,Cystic,benzoyl peroxide + azelaic acid + green tea extract,3% + 5% + 1%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits",['benzoyl peroxide  azelaic acid  green tea extract'],benzoyl peroxide  azelaic acid  green tea extract
14-18,Normal,Normal to Oily,Yes,Dark Circles,Pigmented,vitamin k + vitamin c + caffeine,1% + 2% + 10%,"Improves blood circulation under eyes, Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation",['vitamin k  vitamin c  caffeine'],vitamin k  vitamin c  caffeine
14-18,Normal,Normal to Oily,Yes,Dark Circles,Vascular,licorice extract + caffeine + hyaluronic acid,0.5% + 8% + 1%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Hydrates and plumps the skin",['licorice extract  caffeine  hyaluronic acid'],licorice extract  caffeine  hyaluronic acid
14-18,Normal,Normal to Oily,Yes,Dark Spots,General,licorice extract + alpha arbutin + kojic acid,5% + 0.5% + 8%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration",['licorice extract  alpha arbutin  kojic acid'],licorice extract  alpha arbutin  kojic acid
14-18,Normal,Normal to Oily,Yes,Dullness,General,green tea extract + vitamin c + lactic acid,0.5% + 2% + 5%,"Provides antioxidant and anti-inflammatory benefits, Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance",['green tea extract  vitamin c  lactic acid'],green tea extract  vitamin c  lactic acid
14-18,Normal,Normal to Oily,Yes,Hyperpigmentation,General,niacinamide + vitamin c + alpha arbutin,0.5% + 3% + 1%,"Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots",['niacinamide  vitamin c  alpha arbutin'],niacinamide  vitamin c  alpha arbutin
14-18,Normal,Normal to Oily,Yes,Open Pores,General,salicylic acid + green tea extract + clay,8% + 3% + 1%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores",['salicylic acid  green tea extract  clay'],salicylic acid  green tea extract  clay
