ID,Category,Problem,Skin_or_Hair_Type,Symptoms,Ingredients,Preparation,Usage,Frequency,Precautions,Ingredients_list,clean_Ingredients
1,Haircare,Hair Growth,All,Hair Shedding; Dark Spots,papaya; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['papaya potato juice'],papaya potato juice
2,Haircare,Oily Scalp,Oily,Flaky Skin; Itching,neem powder; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,['neem powder olive oil'],neem powder olive oil
3,Haircare,Premature Greying,Straight,Excess Oil; Dry Texture,onion juice; castor oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application,['onion juice castor oil'],onion juice castor oil
4,Haircare,Oily Scalp,Straight,Hair Shedding; Roughness,olive oil; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['olive oil potato juice'],olive oil potato juice
5,Skincare,Pigmentation,Normal,Roughness; Dull Appearance,egg yolk; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,['egg yolk honey'],egg yolk honey
6,Haircare,Frizzy Hair,Curly,Scalp Irritation; Roughness,gram flour; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['gram flour yogurt'],gram flour yogurt
7,Haircare,Dry Hair,Straight,Itching; Roughness,egg yolk; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,['egg yolk onion juice'],egg yolk onion juice
8,Skincare,Oily Skin,Oily,Itching; Hair Shedding,yogurt; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,['yogurt fenugreek seeds'],yogurt fenugreek seeds
9,Skincare,Sensitive Skin,Dry,Flaky Skin; Dull Appearance,castor oil; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['castor oil potato juice'],castor oil potato juice
10,Skincare,Blackheads,Normal,Hair Shedding; Itching,fenugreek seeds; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,['fenugreek seeds papaya'],fenugreek seeds papaya
11,Haircare,Hair Growth,Curly,Roughness; Scalp Irritation,onion juice; lemon juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,['onion juice lemon juice'],onion juice lemon juice
12,Haircare,Hair Growth,Normal,Flaky Skin; Dry Texture,curd; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['curd coconut oil'],curd coconut oil
13,Haircare,Split Ends,Normal,Flaky Skin; Redness,onion juice; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,['onion juice coconut oil'],onion juice coconut oil
14,Skincare,Dark Circles,Oily,Excess Oil; Uneven Tone,lemon juice; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['lemon juice multani mitti'],lemon juice multani mitti
15,Skincare,Whiteheads,All,Roughness; Uneven Tone,lemon juice; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['lemon juice coconut oil'],lemon juice coconut oil
16,Haircare,Frizzy Hair,Oily,Roughness; Flaky Skin,rose water; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,['rose water green tea'],rose water green tea
17,Skincare,Rashes,Combination,Flaky Skin; Dark Spots,castor oil; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['castor oil potato juice'],castor oil potato juice
18,Skincare,Open Pores,Sensitive,Dry Texture; Itching,fenugreek seeds; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['fenugreek seeds yogurt'],fenugreek seeds yogurt
19,Haircare,Dandruff,Dry,Redness; Scalp Irritation,yogurt; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application,['yogurt honey'],yogurt honey
20,Haircare,Hair Growth,All,Scalp Irritation; Breakage,aloe vera; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['aloe vera potato juice'],aloe vera potato juice
